Activity Type,Age,Country,Gender,Month,Number of Records,Shark Species,Year,Is Fatal,Is Provoked
Swimming & Diving,48,AUSTRALIA,Male,Jun,1,Great White Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,19,USA,Male,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,30,UNITED KINGDOM,Male,Jun,1,Others,2017,0,Unprovoked
Fishing,,USA,Male,Jun,1,Others,2017,0,Unprovoked
Swimming & Diving,32,BAHAMAS,Female,Jun,1,Tiger Shark,2017,0,Unprovoked
Fishing,20,USA,Female,May,1,Others,2017,0,Provoked
Fishing,,USA,Male,May,1,Tiger Shark,2017,0,Unprovoked
Fishing,73,AUSTRALIA,Male,May,1,Others,2017,0,
Fishing,41,UNITED ARAB EMIRATES,Male,May,1,Others,2017,0,Unprovoked
Fishing,29,AUSTRALIA,Male,May,1,Others,2017,0,Provoked
Swimming & Diving,33,MEXICO,Male,May,1,Others,2017,1,Unprovoked
Swimming & Diving,18,USA,Female,May,1,Unknown,2017,0,Invalid
Others,,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,14,SOUTH AFRICA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,33,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,28,REUNION,Male,Apr,1,Others,2017,1,Unprovoked
Swimming & Diving,,NEW ZEALAND,Female,Apr,1,Others,2017,0,Unprovoked
Others,,USA,Female,Apr,1,Unknown,2017,0,Invalid
Swimming & Diving,40,"ST HELENA, British overseas territory",Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,,USA,Male,Apr,1,Unknown,2017,0,Invalid
Others,,USA,Unknown,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,17,AUSTRALIA,Female,Apr,1,Great White Shark,2017,1,Unprovoked
Swimming & Diving,28,USA,Male,Apr,1,Tiger Shark,2017,0,Unprovoked
Swimming & Diving,17,USA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,68,SOUTH AFRICA,Male,Apr,1,Others,2017,0,Invalid
Swimming & Diving,35,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,10,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,21,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,16,USA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,51,USA,Female,Apr,1,Others,2017,0,Unprovoked
Boating,39,AUSTRALIA,Male,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,17,USA,Female,Apr,1,Others,2017,0,Unprovoked
Swimming & Diving,58,USA,Male,Mar,1,Others,2017,0,Unprovoked
Swimming & Diving,30,AUSTRALIA,Male,Mar,1,Others,2017,0,Unprovoked
Boating,,USA,Male,Mar,1,Great White Shark,2017,0,Unprovoked
Wading,58,BAHAMAS,Male,Mar,1,Lemon Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Feb,1,Bull Shark,2017,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Feb,1,Others,2017,0,Unprovoked
Swimming & Diving,26,REUNION,Male,Feb,1,Others,2017,1,Unprovoked
Fishing,26,AUSTRALIA,Male,Feb,1,Others,2017,0,Unprovoked
Swimming & Diving,22,USA,Male,Feb,1,Others,2017,0,Unprovoked
Fishing,,BRAZIL,Female,Feb,1,Lemon Shark,2017,0,Provoked
Fishing,,SOUTH AFRICA,Male,Feb,1,Tiger Shark,2017,0,Boat
Fishing,,USA,Unknown,Feb,1,Great White Shark,2017,0,Boat
Swimming & Diving,37,BAHAMAS,Male,Feb,1,Reef Shark,2017,0,Unprovoked
Others,,USA,Male,Jan,1,Others,2017,0,Unprovoked
Swimming & Diving,55,AUSTRALIA,Male,Jan,1,Great White Shark,2017,0,Unprovoked
Swimming & Diving,57,AUSTRALIA,Male,Jan,1,Others,2017,0,Unprovoked
Others,,USA,Male,Jan,1,Others,2017,0,Unprovoked
Swimming & Diving,48,INDONESIA,Male,Jan,1,Bull Shark,2017,0,Unprovoked
Fishing,35,AUSTRALIA,Male,Jan,1,Bull Shark,,0,Invalid
Wading,47,USA,Male,Jan,1,Others,2017,0,Unprovoked
Wading,20,AUSTRALIA,Male,Jan,1,Others,2017,0,Invalid
Swimming & Diving,16,USA,Male,Dec,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Female,Dec,1,Others,2016,0,Unprovoked
Boating,55,SOUTH AFRICA,Male,Dec,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,61,AUSTRALIA,Male,Dec,1,Others,2016,0,Unprovoked
Swimming & Diving,19,USA,Male,Dec,1,Others,2016,0,Invalid
Swimming & Diving,36,England,Male,Dec,1,Others,2016,0,Unprovoked
Fishing,20,AUSTRALIA,Male,Dec,1,Wobbegong,2016,0,Provoked
Swimming & Diving,65,AUSTRALIA,Male,Dec,1,Great White Shark,2016,0,Unprovoked
Fishing,73,AUSTRALIA,Male,Nov,1,Great White Shark,2016,0,Provoked
Swimming & Diving,58,USA,Female,Nov,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,41,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,42,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,36,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,36,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,66,USA,Female,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,,MEXICO,Male,Oct,1,Great White Shark,2016,0,Invalid
Swimming & Diving,25,AUSTRALIA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,29,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,21,USA,Male,Oct,1,Others,2016,0,Unprovoked
Boating,32,USA,Male,Oct,1,Others,2016,0,Unprovoked
Swimming & Diving,17,AUSTRALIA,Male,Sep,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,16,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,36,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,43,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,43,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Fishing,,AUSTRALIA,Unknown,Sep,1,Others,2016,0,Boat
Wading,,USA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,51,USA,Female,Sep,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,50,NEW CALEDONIA,Male,Sep,1,Others,2016,1,Unprovoked
Swimming & Diving,12,USA,Female,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,,AUSTRALIA,Male,Sep,1,Others,2016,0,Unprovoked
Swimming & Diving,9,USA,Male,Sep,1,Others,2016,0,Unprovoked
Fishing,22,USA,Male,Sep,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,,MEXICO,Unknown,Sep,1,Great White Shark,2016,0,Invalid
Swimming & Diving,25,USA,Male,Aug,1,Bull Shark,2016,0,Unprovoked
Swimming & Diving,37,USA,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,20,REUNION,Male,Aug,1,Great White Shark,2016,0,Unprovoked
Wading,49,USA,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,15,BAHAMAS,Male,Aug,1,Others,2016,0,Unprovoked
Swimming & Diving,21,USA,Male,Aug,1,Tiger Shark,2016,0,Unprovoked
Swimming & Diving,22,USA,Male,Aug,1,Blacktip Shark,2016,0,Unprovoked
Swimming & Diving,40,SPAIN,Male,Jul,1,Blue Shark,2016,0,Unprovoked
Swimming & Diving,72,CHINA,Male,Jul,1,Others,2016,0,Unprovoked
Boating,,AUSTRALIA,Male,Jul,1,Great White Shark,2016,0,Boat
Fishing,43,USA,Male,Jul,1,Nurse Shark,2016,0,Provoked
Swimming & Diving,18,AUSTRALIA,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,29,JAPAN,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,36,AUSTRALIA,Male,Jul,1,Others,2016,0,Unprovoked
Fishing,,BAHAMAS,Male,Jul,1,Bull Shark,2016,0,Unprovoked
Fishing,31,AUSTRALIA,Male,Jul,1,Reef Shark,2016,0,Provoked
Fishing,,USA,Unknown,Jul,1,Tiger Shark,2016,0,Boat
Swimming & Diving,9,USA,Female,Jul,1,Others,2016,0,Unprovoked
Others,11,USA,Female,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,61,USA,Male,Jul,1,Great White Shark,2016,0,Unprovoked
Swimming & Diving,,USA,Male,Jul,1,Others,2016,0,Unprovoked
Swimming & Diving,,BAHAMAS,Male,Jul,1,Lemon Shark,2016,0,Unprovoked
Wading,10,SPAIN,Female,Jul,1,Wobbegong,2016,0,Unprovoked
Fishing,,USA,Male,Jul,1,Great White Shark,2016,0,Boat
Fishing,59,USA,Male,Jul,1,Others,2016,0,Provoked
Fishing,,USA,Male,Jul,1,Great White Shark,2016,0,Boat
Swimming & Diving,42,USA,Female,Jul,1,Others,2016,0,Unprovoked
Fishing,34,AUSTRALIA,Male,Jul,1,Nurse Shark,2016,0,Provoked
Others,35,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,11,USA,Male,Jun,1,Others,2016,0,Unprovoked
Swimming & Diving,59,COLUMBIA,Male,Jun,1,Great White Shark,2016,0,Unprovoked
